lyr,date,mean,sd,isNA,notNA
sst_2002.06.16,2002-06-16,13.93993727594172,0.03084871614143147,0,2091
sst_2002.07.16,2002-07-16,15.052301991561675,0.1626607403433764,0,2091
sst_2002.08.16,2002-08-16,15.87504514149648,0.04190034635610443,0,2091
sst_2002.09.16,2002-09-16,16.374092864625368,0.38113920244228944,0,2091
sst_2002.10.16,2002-10-16,15.86313336161208,0.3515869205306706,0,2091
sst_2002.11.16,2002-11-16,14.757420252066147,0.3146724841236478,0,2091
sst_2002.12.16,2002-12-16,14.318993545160062,0.2120236466993145,0,2091
sst_2003.01.16,2003-01-16,14.206766749728189,0.04853820909075793,0,2091
sst_2003.02.16,2003-02-16,13.680135850071736,0.07060897360307745,0,2091
sst_2003.03.16,2003-03-16,13.750560218668737,0.05020950997598111,0,2091
sst_2003.04.16,2003-04-16,13.873060710802996,0.16054814227879777,0,2091
sst_2003.05.16,2003-05-16,14.005353915754087,0.29373590397949595,0,2091
sst_2003.06.16,2003-06-16,14.83440592914948,0.10507428196718945,0,2091
sst_2003.07.16,2003-07-16,16.296130099631792,0.14762499040376445,0,2091
sst_2003.08.16,2003-08-16,17.895731184825777,0.1768685738516011,0,2091
sst_2003.09.16,2003-09-16,17.051408633611125,0.27600235421030606,0,2091
sst_2003.10.16,2003-10-16,15.42292173395654,0.29135629749033176,0,2091
sst_2003.11.16,2003-11-16,15.278280118616616,0.10503177990544728,0,2091
sst_2003.12.16,2003-12-16,13.690278690434823,0.12032349078058471,0,2091
sst_2004.01.16,2004-01-16,12.949172849577616,0.04842540588229865,0,2091
sst_2004.02.16,2004-02-16,12.74097618128568,0.12686745347421052,0,2091
sst_2004.03.16,2004-03-16,13.236868918084571,0.10162280531995437,0,2091
sst_2004.04.16,2004-04-16,13.912070553021133,0.07257500104700215,0,2091
sst_2004.05.16,2004-05-16,14.702514035458886,0.2568778341804496,0,2091
sst_2004.06.16,2004-06-16,15.250290581052353,0.4336588290849949,0,2091
sst_2004.07.16,2004-07-16,15.932929193614374,0.3729433813672364,0,2091
sst_2004.08.16,2004-08-16,16.512563419934953,0.17497400101951008,0,2091
sst_2004.09.16,2004-09-16,16.743828516722523,0.21238665755346728,0,2091
sst_2004.10.16,2004-10-16,15.750642562129178,0.10372409218164352,0,2091
sst_2004.11.16,2004-11-16,14.807764696424968,0.11327155946555333,0,2091
sst_2004.12.16,2004-12-16,13.344732633907222,0.09957885534371395,0,2091
